WOC Score,Ticker,Company Name,Yahoo (1-5),Zacks (1-5),Wall Street Journal Rating (1-5),MorningStar (1-5),Street Rank (1-16),Ticker,Company Name,Projected Change % in 12 Months,CNN Recommendation
79.39,ARRS,ARRIS International plc,1.8,3,1,1,8,ARRS,ARRIS International plc,22.43,Buy
79.38,SWKS,"Skyworks Solutions, Inc.",2.1,2,2,1.3,4,SWKS,"Skyworks Solutions, Inc.",10.63,Buy
79.37,TEL,TE Connectivity Ltd.,2.2,2,2,6,1,TEL,TE Connectivity Ltd.,6.24,Buy
79.36,TECH,Bio-Techne Corp,1.9,2,2,1,5,TECH,Bio-Techne Corp,4.72,Buy
79.34,MLCO,Melco Resorts & Entertainment Limited,2,2,2,1.4,7,MLCO,Melco Resorts & Entertainment Limited,30.41,Buy
79.33,BERY,"Berry Global Group, Inc.",1.8,3,1,6,4,BERY,"Berry Global Group, Inc.",16.01,Buy
79.32,SINA,Sina Corporation,1.6,3,1,2,5,SINA,Sina Corporation,21.93,Buy
79.2,LUV,Southwest Airlines Company,2,2,2,6,4,LUV,Southwest Airlines Company,20.23,Buy
79.17,SGYP,"Synergy Pharmaceuticals, Inc.",2,4,2,1,17,SGYP,"Synergy Pharmaceuticals, Inc.",170.94,Buy
79.17,UPL,Ultra Petroleum Corp.,1,2,1,5,17,UPL,Ultra Petroleum Corp.,50.8,Buy
79.16,MIC,Macquarie Infrastructure Company,1.9,3,1,6,5,MIC,Macquarie Infrastructure Company,24.14,Buy
79.14,WAGE,"WageWorks, Inc.",1.9,3,1,6,6,WAGE,"WageWorks, Inc.",30.67,Buy
79.1,COMM,"CommScope Holding Company, Inc.",1.8,3,1,1,7,COMM,"CommScope Holding Company, Inc.",13.7,Buy
79.04,RCL,Royal Caribbean Cruises Ltd.,1.8,2,2,6,3,RCL,Royal Caribbean Cruises Ltd.,7.59,Buy
79.03,ADBE,Adobe Systems Incorporated,1.9,2,2,1.8,3,ADBE,Adobe Systems Incorporated,9.04,Buy
79.02,PATK,"Patrick Industries, Inc.",1.7,2,2,6,4,PATK,"Patrick Industries, Inc.",11.63,Buy
79,TEAM,Atlassian Corporation Plc,6,1,2,1,9,TEAM,Atlassian Corporation Plc,2.32,Buy
78.95,FOE,Ferro Corporation,2.4,2,1,6,5,FOE,Ferro Corporation,10.35,Buy
78.94,POST,"Post Holdings, Inc.",1.8,1,2,6,8,POST,"Post Holdings, Inc.",15.33,Buy
78.92,VRTX,Vertex Pharmaceuticals Incorporated,1.8,1,2,2.2,7,VRTX,Vertex Pharmaceuticals Incorporated,17.42,Buy
78.92,EQM,"EQT Midstream Partners, LP",1.8,3,1,6,6,EQM,"EQT Midstream Partners, LP",26.88,Buy
78.91,EPD,Enterprise Products Partners L.P.,1.6,3,1,6,6,EPD,Enterprise Products Partners L.P.,21.77,Buy
78.9,SBUX,Starbucks Corporation,1.8,4,1,1.5,3,SBUX,Starbucks Corporation,23.15,Buy
78.89,AVY,Avery Dennison Corporation,2,2,2,6,1,AVY,Avery Dennison Corporation,-1.66,Buy
78.86,ROST,"Ross Stores, Inc.",2.1,2,2,2,5,ROST,"Ross Stores, Inc.",31.22,Buy
78.84,JAZZ,Jazz Pharmaceuticals plc,1.9,3,1,1.6,5,JAZZ,Jazz Pharmaceuticals plc,16.07,Buy
78.84,LOW,"Lowe&#39;s Companies, Inc.",2.2,2,2,6,3,LOW,"Lowe&#39;s Companies, Inc.",16.37,Buy
78.83,FLT,"FleetCor Technologies, Inc.",1.6,3,1,6,6,FLT,"FleetCor Technologies, Inc.",21.34,Buy
78.79,MTU,Mitsubishi UFJ Financial Group Inc,1,2,2,6,8,MTU,Mitsubishi UFJ Financial Group Inc,19.42,Buy
78.78,OTEX,Open Text Corporation,2.1,3,1,1.4,5,OTEX,Open Text Corporation,15.66,Buy
78.71,NUVA,"NuVasive, Inc.",1.9,3,2,1,5,NUVA,"NuVasive, Inc.",25.17,Buy
78.65,JCOM,"j2 Global, Inc.",1.7,3,1,6,5,JCOM,"j2 Global, Inc.",16.07,Buy
78.65,OSIS,"OSI Systems, Inc.",1.7,3,1,1,7,OSIS,"OSI Systems, Inc.",8.03,Buy
78.65,MTG,MGIC Investment Corporation,1.6,3,1,6,5,MTG,MGIC Investment Corporation,13.54,Buy
78.64,CME,CME Group Inc.,2.1,3,2,1.3,1,CME,CME Group Inc.,10.49,Buy
78.64,IBP,"Installed Building Products, Inc.",1.9,3,1,6,4,IBP,"Installed Building Products, Inc.",14.37,Buy
78.63,IR,Ingersoll-Rand plc (Ireland),2.2,2,2,6,2,IR,Ingersoll-Rand plc (Ireland),8.43,Buy
