Rating,Ticker,Company Name,Yahoo (1-5),Zacks (1-5),Wall Street Journal Rating (1-5),MorningStar (1-5),Street Rank (1-16),Projected Change % in 12 Months,CNN Recommendation
78.13,JOBS,"51job, Inc.",2.50,1,2,6,5,-7.66,1
78.11,WNS,WNS (Holdings) Limited,1.50,3,1,6,4,10.54,1
78.02,COH,"Coach, Inc.",2.10,3,2,6,3,28.42,1
77.99,GSM,Ferroglobe PLC,1.60,2,1,1.0,10,2.94,1
77.98,MDSO,"Medidata Solutions, Inc.",2.00,4,1,1.0,5,19.57,1
77.98,ARES,Ares Management L.P.,2.00,3,1,6,6,23.25,1
77.97,SMTC,Semtech Corporation,1.70,3,1,2.0,5,19.46,1
77.95,GOOGL,Alphabet Inc.,1.80,3,1,1.7999999999999998,5,14.37,1
77.92,SBCF,Seacoast Banking Corporation of Florida,2.30,3,2,1.0,5,19.21,1
77.91,ABMD,"ABIOMED, Inc.",1.40,3,2,1.0,3,5.77,1
77.9,IDTI,"Integrated Device Technology, Inc.",2.20,3,2,1.0,6,25.73,1
77.9,FOE,Ferro Corporation,2.40,3,1,6,5,16.16,1
77.88,AMP,"AMERIPRISE FINANCIAL SERVICES, INC.",2.20,2,2,6,4,9.39,1
77.85,NPO,EnPro Industries,1.80,3,1,6,6,22.57,1
77.84,FLIR,"FLIR Systems, Inc.",2.20,3,2,1.0,4,12.06,1
77.83,PBYI,Puma Biotechnology Inc,1.60,3,1,3.0,17,39.16,1
77.76,VNTV,"Vantiv, Inc.",2.00,2,2,6,3,2.11,1
77.75,ACHC,"Acadia Healthcare Company, Inc.",1.80,3,1,1.5,8,25.65,1
77.74,MINI,"Mobile Mini, Inc.",2.20,3,2,1.0,6,24.78,1
77.74,GKOS,Glaukos Corporation,1.50,3,1,6,10,48.68,1
77.7,DHI,"D.R. Horton, Inc.",2.10,3,2,6,1,13.51,1
77.67,PRTA,Prothena Corporation plc,1.60,3,1,1.0,11,32.67,1
