Top of The Market Rating,Yahoo (1-5)Zacks (1-5),Wall Street Journal Rating (1-5),Street Rank (1-16),Ticker,Company Name,Projected Change % in 12 Months,CNN Recommendation
79.3,2.0,2,2,1,MA,Mastercard Incorporated,0.77,Buy
79.27,2.0,2,2,2,EW,Edwards Lifesciences Corporation,7.26,Buy
79.2,1.8,3,1,7,PE,"Parsley Energy, Inc.",35.18,Buy
79.17,2.0,3,1,4,GPK,Graphic Packaging Holding Company,20.05,Buy
79.16,1.0,3,2,5,SNA,Snap-On Incorporated,26.63,Buy
79.15,1.5,3,1,17,ADSW,"Advanced Disposal Services, Inc.",8.24,Buy
79.14,1.8,3,1,17,QVCA,Liberty Interactive Corporation,15.7,Buy
79.13,2.0,2,2,2,EGBN,"Eagle Bancorp, Inc.",6.45,Buy
79.09,1.8,3,1,4,BERY,"Berry Global Group, Inc.",14.52,Buy
79.09,1.6,2,2,5,DST,"DST Systems, Inc.",16.2,Buy
79.09,2.0,1,1,11,NOMD,Nomad Foods Limited,16.2,Buy
79.07,2.3,2,2,1,SWK,"Stanley Black & Decker, Inc.",6.93,Buy
79.06,2.3,2,2,5,AMED,Amedisys Inc,33.5,Buy
79.03,1.8,2,2,5,ALK,"Alaska Air Group, Inc.",20.84,Buy
79.02,2.0,3,1,17,CLVS,"Clovis Oncology, Inc.",20.1,Buy
79.0,1.9,3,1,4,MSCC,Microsemi Corporation,16.5,Buy
79.0,2.1,1,2,5,AAN,"Aaron&#39;s,  Inc.",3.17,Buy
78.97,2.2,2,2,3,LOW,"Lowe&#39;s Companies, Inc.",17.14,Buy
78.96,1.4,3,1,17,AVXS,"AveXis, Inc.",4.82,Buy
78.94,2.0,3,1,17,BTU,Peabody Energy Corporation,19.7,Buy
78.91,1.8,1,2,8,POST,"Post Holdings, Inc.",15.11,Buy
78.9,1.8,2,2,4,DHR,Danaher Corporation,13.4,Buy
78.84,1.9,2,2,1,COO,"Cooper Companies, Inc. (The)",-4.46,Buy
78.81,1.9,3,1,9,MDCO,The Medicines Company,48.71,Buy
78.77,6,1,2,8,LBTYB,Liberty Global plc,15.5,Buy
78.68,1.5,3,1,5,TTMI,"TTM Technologies, Inc.",11.23,Buy
78.68,1.9,3,1,4,IBP,"Installed Building Products, Inc.",14.58,Buy
78.67,1.8,3,1,6,EQM,"EQT Midstream Partners, LP",25.36,Buy
78.67,2.0,2,2,1,FNF,"Fidelity National Financial, Inc.",-2.99,Buy
78.67,1.0,2,2,8,MTU,Mitsubishi UFJ Financial Group Inc,18.66,Buy
78.65,1.8,3,1,17,HGV,Hilton Grand Vacations Inc.,13.23,Buy
78.64,2.0,3,1,7,ROCK,"Gibraltar Industries, Inc.",36.81,Buy
