Top of The Market Rating,Yahoo (1-5),Zacks (1-5),Wall Street Journal Rating (1-5),MorningStar (1-5),Street Rank (1-16),Ticker,Company Name,Projected Change % in 12 Months,CNN Recommendation
80.42,1.3,3,1,1.0,11,FGEN,"FibroGen, Inc",37.14,Buy
80.42,2.0,3,2,1.0,4,KLIC,"Kulicke and Soffa Industries, Inc.",32.92,Buy
80.4,1.7,2,2,2.0,17,WPPGY,WPP plc,24.91,Buy
80.39,2.0,1,1,6,8,BBU,Brookfield Business Partners L.P.,3.98,Buy
80.35,1.8,2,2,6,1,HON,Honeywell International Inc.,2.11,Buy
80.33,2.2,1,2,1.0,5,HTHT,"China Lodging Group, Limited",-6.02,Buy
80.33,2.0,3,1,1.0,17,TIG,TiGenix,7.0,Buy
80.33,1.7,3,1,6,4,GVA,Granite Construction Incorporated,19.5,Buy
80.33,3.0,1,2,6,1,TLK,"PT Telekomunikasi Indonesia, Tbk",7.01,Buy
80.31,2.0,1,2,6,10,MBI,"MBIA, Inc.",41.84,Buy
80.24,1.6,3,1,1.0,12,AMRN,Amarin Corporation plc,90.74,Buy
80.18,1.5,3,1,6,5,AM,Antero Midstream Partners LP,20.23,Buy
80.12,1.9,3,1,1.0,11,ACAD,ACADIA Pharmaceuticals Inc.,56.4,Buy
80.05,1.9,2,2,6,1,COO,"Cooper Companies, Inc. (The)",2.78,Buy
79.96,1.4,3,2,1.0,3,ABMD,"ABIOMED, Inc.",8.04,Buy
79.91,1.5,3,1,6,5,SATS,EchoStar Corporation,18.61,Buy
79.91,1.5,3,1,6,4,CBM,Cambrex Corporation,11.97,Buy
79.91,1.0,2,2,6,8,CHA,China Telecom Corp Ltd,26.15,Buy
79.91,2.2,2,2,6,1,TEL,TE Connectivity Ltd.,9.48,Buy
79.88,1.7,3,1,1.0,12,SRPT,"Sarepta Therapeutics, Inc.",66.15,Buy
79.86,1.9,3,1,1.0,6,TEDU,"Tarena International, Inc.",14.88,Buy
79.86,1.7,3,1,6,9,MNK,Mallinckrodt plc,70.65,Buy
79.81,2.3,1,2,2.5,1,ASML,ASML Holding N.V.,3.64,Buy
79.74,2.0,2,2,6,1,FNF,"Fidelity National Financial, Inc.",3.46,Buy
79.74,1.9,3,1,6,3,WRK,Westrock Company,14.25,Buy
79.72,2.0,3,1,6,8,AGRO,Adecoagro S.A.,53.31,Buy
79.7,2.0,2,2,6,1,AVY,Avery Dennison Corporation,3.17,Buy
79.69,1.8,3,1,6,5,XPO,"XPO Logistics, Inc.",24.8,Buy
79.68,1.6,4,6,1.0,4,CBPO,"China Biologic Products, Inc.",38.09,Buy
79.63,1.9,2,2,6,2,CI,Cigna Corporation,6.93,Buy
79.62,1.7,2,2,6,4,PATK,"Patrick Industries, Inc.",15.2,Buy
79.61,1.8,3,1,1.7000000000000002,17,QVCA,Liberty Interactive Corporation,15.13,Buy
79.61,2.2,2,2,6,1,TSS,"Total System Services, Inc.",7.63,Buy
79.6,1.8,3,1,1.0,17,TLND,Talend S.A.,-2.39,Buy
79.59,1.9,3,1,2.3,2,CHFC,Chemical Financial Corporation,18.77,Buy
79.55,2.1,2,2,6,2,STZ,Constellation Brands Inc,11.44,Buy
79.55,1.0,3,2,6,5,SNA,Snap-On Incorporated,28.96,Buy
79.54,1.9,3,1,6,2,MHK,"Mohawk Industries, Inc.",6.43,Buy
79.52,1.8,1,2,6,5,INGN,"Inogen, Inc",-1.19,Buy
79.52,1.5,3,2,6,1,THO,"Thor Industries, Inc.",14.64,Buy
79.51,1.9,2,2,1.0,5,TECH,Bio-Techne Corp,5.77,Buy
79.5,1.5,3,1,6,4,WNS,WNS (Holdings) Limited,9.49,Buy
79.47,1.8,1,2,6,7,CORE,"Core-Mark Holding Company, Inc.",11.83,Buy
79.46,2.0,3,1,6,4,NUE,Nucor Corporation,21.78,Buy
79.45,1.7,3,1,1.0,7,BLDR,"Builders FirstSource, Inc.",13.64,Buy
79.43,1.9,2,2,2.0,2,MCHP,Microchip Technology Incorporated,10.19,Buy
79.41,1.9,3,1,6,3,FDX,FedEx Corporation,12.27,Buy
79.4,1.5,3,1,6,10,GKOS,Glaukos Corporation,48.92,Buy
79.3,1.6,3,1,6,6,EPD,Enterprise Products Partners L.P.,24.15,Buy
79.3,2.4,2,1,6,5,FOE,Ferro Corporation,12.47,Buy
79.29,1.7,3,1,1.0,8,BMCH,"BMC Stock Holdings, Inc.",19.22,Buy
79.29,1.9,3,1,6,3,WCN,"Waste Connections, Inc.",11.56,Buy
79.28,1.8,3,1,6,5,RDN,Radian Group Inc.,22.37,Buy
79.19,1.8,3,1,6,8,CPE,Callon Petroleum Company,41.78,Buy
79.18,1.8,2,1,1.0,11,PFPT,"Proofpoint, Inc.",15.9,Buy
79.18,1.5,2,1,6,10,NVRO,Nevro Corp.,22.58,Buy
79.17,2.0,4,2,1.0,17,SGYP,"Synergy Pharmaceuticals, Inc.",194.91,Buy
79.09,2.2,1,2,1.7999999999999998,8,IMPV,"Imperva, Inc.",25.28,Buy
79.08,1.7,3,1,2.0,5,SINA,Sina Corporation,22.76,Buy
79.05,1.9,3,1,6,5,MIC,Macquarie Infrastructure Company,23.46,Buy
79.05,1.7,3,1,6,6,MPLX,MPLX LP,25.11,Buy
79.04,1.8,2,1,6,7,ELY,Callaway Golf Company,9.26,Buy
78.97,1.9,3,1,1.5999999999999996,5,JAZZ,Jazz Pharmaceuticals plc,16.97,Buy
78.93,1.9,2,2,1.7999999999999998,3,ADBE,Adobe Systems Incorporated,8.32,Buy
78.93,1.7,2,2,6,3,RCL,Royal Caribbean Cruises Ltd.,4.44,Buy
78.92,1.9,2,2,6,6,CAL,"Caleres, Inc.",29.33,Buy
78.91,2.5,1,2,1.0,6,KALU,Kaiser Aluminum Corporation,-1.83,Buy
78.89,2.0,3,2,6,5,ACCO,Acco Brands Corporation,51.38,Buy
78.87,1.8,3,1,6,4,BERY,"Berry Global Group, Inc.",13.2,Buy
78.8,1.8,3,1,6,6,EQM,"EQT Midstream Partners, LP",26.11,Buy
78.79,1.8,2,2,6,3,AFG,"American Financial Group, Inc.",6.07,Buy
78.71,1.7,3,1,1.0,7,OSIS,"OSI Systems, Inc.",8.45,Buy
78.7,1.8,3,1,6,5,EDU,"New Oriental Education & Technology Group, Inc.",18.85,Buy
78.68,2.3,2,2,1.0,4,SHOO,"Steven Madden, Ltd.",3.28,Buy
78.66,1.6,3,1,3.0,17,PBYI,Puma Biotechnology Inc,36.95,Buy
78.61,2.2,2,2,2.0,2,FRME,First Merchants Corporation,11.94,Buy
78.53,2.1,2,2,2.0,5,ROST,"Ross Stores, Inc.",28.89,Buy
78.52,1.7,3,1,1.0,3,STMP,Stamps.com Inc.,-19.53,Buy
78.51,2.2,3,2,1.0,17,NTNX,"Nutanix, Inc.",26.05,Buy
78.5,2.0,2,2,1.0,5,HCSG,"Healthcare Services Group, Inc.",1.15,Buy
78.44,1.6,3,1,6,7,VNOM,Viper Energy Partners LP,25.64,Buy
78.42,2.2,2,2,1.0,4,AAWW,Atlas Air Worldwide Holdings,-1.07,Buy
78.42,2.1,3,1,1.4000000000000004,5,OTEX,Open Text Corporation,13.08,Buy
78.4,6,1,2,1.7000000000000002,8,NWS,News Corporation,9.59,Buy
78.4,1.9,3,1,2.0,9,MDCO,The Medicines Company,49.6,Buy
78.4,1.8,1,2,6,8,POST,"Post Holdings, Inc.",12.04,Buy
78.39,2.5,2,2,6,1,PFS,"Provident Financial Services, Inc",7.86,Buy
78.38,2.3,1,2,2.0,8,VRNT,Verint Systems Inc.,27.86,Buy
78.38,2.1,2,2,6,3,ORCL,Oracle Corporation,11.09,Buy
78.37,2.2,2,2,6,3,LOW,"Lowe&#39;s Companies, Inc.",13.56,Buy
78.35,1.7,3,1,6,4,AMT,American Tower Corporation (REIT),7.58,Buy
78.34,2.0,2,2,1.4000000000000004,5,MNST,Monster Beverage Corporation,10.04,Buy
78.33,1.4,3,1,1.0,8,TWOU,"2U, Inc.",4.97,Buy
78.33,2.0,3,1,1.5999999999999996,5,MDLZ,"Mondelez International, Inc.",15.0,Buy
78.29,1.6,3,1,6,5,MTG,MGIC Investment Corporation,11.4,Buy
78.29,1.8,3,1,6,5,MGM,MGM Resorts International,16.39,Buy
78.27,1.0,2,2,6,8,MTU,Mitsubishi UFJ Financial Group Inc,16.28,Buy
78.23,1.8,3,1,6,5,GWB,"Great Western Bancorp, Inc.",16.04,Buy
78.2,1.9,2,2,6,3,TFX,Teleflex Incorporated,5.01,Buy
78.17,2.0,3,2,1.0,5,NUVA,"NuVasive, Inc.",23.88,Buy
78.16,3.1,1,2,6,1,PAC,"Grupo Aeroportuario Del Pacifico, S.A. de C.V.",-3.57,Buy
78.12,1.8,3,2,1.2999999999999998,3,CELG,Celgene Corporation,12.66,Buy
78.12,2.4,2,2,6,2,GIB,"CGI Group, Inc.",10.38,Buy
78.1,1.9,4,1,1.0,4,MPWR,"Monolithic Power Systems, Inc.",14.23,Buy
78.1,1.7,3,1,2.0,5,SMTC,Semtech Corporation,15.89,Buy
78.09,1.3,3,1,2.0,5,USCR,"U S Concrete, Inc.",5.82,Buy
78.08,2.2,3,2,1.0,17,ESPR,"Esperion Therapeutics, Inc.",23.5,Buy
78.07,2.1,1,2,2.0,5,TRMB,Trimble Inc.,0.66,Buy
77.92,1.8,3,1,6,3,ROG,Rogers Corporation,0.88,Buy
77.9,1.5,3,1,1.0,11,CZR,Caesars Entertainment Corporation,24.49,Buy
77.89,1.9,2,2,1.5,5,ITRI,"Itron, Inc.",6.87,Buy
77.88,1.6,3,1,6,6,MPC,Marathon Petroleum Corporation,15.61,Buy
77.86,2.0,2,2,6,7,MATX,"Matson, Inc.",32.14,Buy
77.83,2.1,3,1,6,5,TJX,"TJX Companies, Inc. (The)",21.15,Buy
77.79,2.1,2,2,6,4,BIG,"Big Lots, Inc.",14.26,Buy
77.79,2.2,2,2,6,2,SYK,Stryker Corporation,3.39,Buy
77.78,1.9,3,1,1.7999999999999998,5,GOOGL,Alphabet Inc.,13.66,Buy
77.78,1.5,3,1,1.0,11,PRTA,Prothena Corporation plc,23.6,Buy
77.75,2.2,2,2,6,3,MC,Moelis & Company,9.86,Buy
77.75,2.4,1,2,6,6,NCS,"NCI Building Systems, Inc.",9.86,Buy
77.75,3.0,1,2,6,9,TRQ,Turquoise Hill Resources Ltd.,44.84,Buy
77.7,1.9,4,1,1.5,3,SBUX,Starbucks Corporation,17.24,Buy
77.69,1.7,3,1,1.0,8,CALD,"Callidus Software, Inc.",8.0,Buy
77.68,1.8,3,1,2.0,7,COMM,"CommScope Holding Company, Inc.",28.79,Buy
77.67,1.6,3,1,6,6,NPO,EnPro Industries,14.35,Buy
77.65,1.8,2,2,1.5,7,HMSY,HMS Holdings Corp,16.03,Buy
77.61,1.7,3,1,6,5,PF,"Pinnacle Foods, Inc.",9.82,Buy
77.6,1.0,3,2,6,6,KEP,Korea Electric Power Corporation,23.91,Buy
77.59,1.9,3,2,1.0,17,LAUR,"Laureate Education, Inc.",13.04,Buy
77.59,2.0,2,2,6,5,BDC,Belden Inc,17.19,Buy
77.56,2.4,1,2,1.0,2,STBZ,State Bank Financial Corporation.,9.61,Hold
77.55,1.8,2,1,6,8,CHGG,"Chegg, Inc.",6.95,Buy
77.49,1.7,3,1,2.0,8,ACXM,Acxiom Corporation,31.58,Buy
77.48,2.1,3,2,1.2000000000000002,3,CSCO,"Cisco Systems, Inc.",13.21,Buy
77.4,1.7,3,2,6,3,VMC,Vulcan Materials Company,20.24,Buy
77.37,2.2,3,1,1.0,8,ERI,"Eldorado Resorts, Inc.",18.23,Buy
77.34,1.7,2,2,6,4,AME,"AMTEK, Inc.",1.52,Buy
77.31,1.8,3,2,6,3,INN,"Summit Hotel Properties, Inc.",22.17,Buy
77.27,2.0,3,2,1.5,2,MSFT,Microsoft Corporation,10.07,Buy
77.27,2.0,2,2,1.0,6,OLLI,"Ollie&#39;s Bargain Outlet Holdings, Inc.",-0.77,Buy
77.27,2.0,2,1,6,7,BAP,Credicorp Ltd.,3.64,Buy
77.26,1.8,5,1,1.5,5,FNSR,Finisar Corporation,54.55,Buy
77.26,1.5,5,1,1.0,8,XPER,Xperi Corporation,70.37,Buy
77.25,2.3,2,2,6,1,B,"Barnes Group, Inc.",-4.02,Buy
77.23,2.1,2,2,2.0,5,LOGM,"LogMein, Inc.",19.79,Buy
77.2,2.0,3,1,6,5,PBA,Pembina Pipeline Corp.,14.85,Buy
77.18,2.0,3,2,1.0,5,PZZA,"Papa John&#39;s International, Inc.",16.94,Buy
77.14,2.0,4,1,1.0,10,DERM,"Dermira, Inc.",72.09,Buy
77.12,2.1,3,2,1.2999999999999998,2,CME,CME Group Inc.,6.49,Buy
77.08,2.2,3,1,1.0,10,MB,"MINDBODY, Inc.",29.59,Buy
77.07,1.2,3,1,6,9,QUOT,Quotient Technology Inc.,20.75,Buy
77.04,1.8,3,1,1.0,11,HZNP,Horizon Pharma plc,25.98,Buy
76.9,1.8,4,1,1.0,11,ARRY,Array BioPharma Inc.,60.3,Buy
